Name,ID
entity (UBERON),BFO:0000001
continuant (UBERON),BFO:0000002
occurrent (UBERON),BFO:0000003
independent continuant (UBERON),BFO:0000004
spatial region (UBERON),BFO:0000006
process (UBERON),BFO:0000015
disposition (UBERON),BFO:0000016
realizable entity (UBERON),BFO:0000017
quality (UBERON),PATO:0000001
specifically dependent continuant (UBERON),BFO:0000020
role (UBERON),CHEBI:50906
generically dependent continuant (UBERON),BFO:0000031
function (UBERON),BFO:0000034
material entity (UBERON),BFO:0000040
immaterial entity (UBERON),BFO:0000141
left side (UBERON),BSPO:0000000
right side (UBERON),BSPO:0000007
anatomical axis (UBERON),BSPO:0000010
anterior-posterior axis (UBERON),BSPO:0000013
dorsal-ventral axis (UBERON),BSPO:0000016
left-right axis (UBERON),BSPO:0000017
transverse plane (UBERON),BSPO:0000018
horizontal plane (UBERON),BSPO:0000019
anatomical side (UBERON),BSPO:0000054
anatomical region (UBERON),BSPO:0000070
anatomical plane (UBERON),UBERON:0035085
sagittal plane (UBERON),BSPO:0000417
anatomical entity (UBERON),UBERON:0001062
anatomical structure (UBERON),UBERON:0000061
material anatomical entity (UBERON),UBERON:0000465
immaterial anatomical entity (UBERON),UBERON:0000466
anatomical line (UBERON),UBERON:0006800
anatomical boundary (UBERON),CARO:0000010
electron (UBERON),CHEBI:10545
steroid aldehyde (UBERON),CHEBI:131565
Mycoplasma genitalium metabolite (UBERON),CHEBI:131604
C19-steroid (UBERON),CHEBI:131621
dicarboxylic acids and O-substituted derivatives (UBERON),CHEBI:131927
hyaluronate (UBERON),CHEBI:132153
3-oxo-Delta(4)-steroid group (UBERON),CHEBI:136849
5beta steroid (UBERON),CHEBI:136889
inorganic acid (UBERON),CHEBI:138103
bile acids (UBERON),CHEBI:138366
apoprotein (UBERON),CHEBI:13850
gas molecular entity (UBERON),CHEBI:138675
carotenoid beta-end derivative (UBERON),CHEBI:139120
carbamate (UBERON),CHEBI:13941
alpha-hydroxy ketone (UBERON),CHEBI:139588
primary alpha-hydroxy ketone (UBERON),CHEBI:139590
secondary carboxamide (UBERON),CHEBI:140325
fatty acid 4:0 (UBERON),CHEBI:140601
24G7 epitope (UBERON),CHEBI:142163
glutamate(1-) (UBERON),CHEBI:14321
acceptor (UBERON),CHEBI:15339
choline (UBERON),CHEBI:15354
acetylcholine (UBERON),CHEBI:15355
acetic acid (UBERON),CHEBI:15366
water (UBERON),CHEBI:15377
hydron (UBERON),CHEBI:15378
dioxygen (UBERON),CHEBI:15379
squalene (UBERON),CHEBI:15440
aldose (UBERON),CHEBI:15693
L-alpha-amino acid (UBERON),CHEBI:15705
primary alcohol (UBERON),CHEBI:15734
formate (UBERON),CHEBI:15740
polypeptide (UBERON),CHEBI:15841
D-glutamic acid (UBERON),CHEBI:15966
polynucleotide (UBERON),CHEBI:15986
L-glutamic acid (UBERON),CHEBI:16015
ammonia (UBERON),CHEBI:16134
