Class ID,Preferred Label,Synonyms,Definitions
RID10312,magnetic resonance imaging,,
RID10315,magnetic resonance spectroscopy,,
RID10317,functional magnetic resonance imaging,,
RID10319,magnetic resonance angiography,,
RID10321,computed tomography,,
RID10323,quantitative computed tomography,,
RID10326,ultrasound,,
RID10330,nuclear medicine imaging,,
RID10332,single photon imaging,,
RID10333,planar nuclear medicine imaging,,
RID10334,single photon emission computed tomography,,
RID10336,bremsstrahlung imaging,,
RID10337,positron emission tomography,,
RID10345,projection radiography,,
RID10349,computed radiography,,
RID10351,digital radiography,,
RID10353,screen-film radiography,,
RID10356,dual-energy subtraction radiography,,
RID10357,mammography,,
RID10358,conventional tomography,,
RID10359,tomosynthesis,,
RID10360,panographic radiograph,,
RID10361,fluoroscopy,,
RID10363,dual energy xray absorptiometry,,
RID10365,catheter angiography,,
RID10367,interventional radiology procedure,,
RID10370,modality descriptor,,
RID10371,angiography,,
RID10373,arthrography,,
RID10374,diffusion,,
RID10375,Doppler,,
RID10376,perfusion imaging,,
RID10377,spectroscopy,,
RID10378,functional,,
RID10379,venography,,
RID10380,myelography,,
RID10381,intervention,,
RID10382,orderable technique,,
RID10383,portable,,
RID10385,dynamic,,
RID10386,limited evaluation,,
RID10387,complete evaluation,,
RID10388,orderable priority,,
RID10389,stat blue,,
RID10390,stat,,
RID10391,urgent,,
RID10392,routine,,
RID10393,imaging purpose,,
RID10394,diagnosis,,
RID10395,marking for intervention,,
RID10397,ablation,,
RID10398,aspiration of bodily substance,,
RID10399,dilation of structure,,
RID10400,balloon dilation of structure,,
RID10401,atherectomy,,
RID10402,stent placement,,
RID10403,thrombolysis,,
RID10404,embolization,,
RID10405,temporary occlusion,,
RID10406,infusion,,
RID10407,repair,,
RID10408,object retrieval,,
RID10409,measurement type,,
RID10410,narrow,,
RID10412,thrombectomy,,
RID10413,device manipulation,,
RID10415,device removal,,
RID10416,shunt creation,,
RID10417,drainage,,
RID10418,direct injection,,
RID10419,brachytherapy,,
RID10420,patient position,,
RID10421,supine position,,
RID10422,prone position,,
RID10423,decubitus position,,
RID10424,right lateral decubitus position,,
RID10425,left lateral decubitus position,,
RID10426,dorsal decubitus position,,
RID10427,extension position,,
RID10428,hyperextension position,,
RID10429,flexion position,,
RID10430,hyperflexion position,,
RID10431,partial flexion position,,
RID10432,patient rotation position,,
RID10433,external rotation position,,
RID10434,internal rotation position,,
RID10435,lateral rotation position,,
RID10436,medial rotation position,,
RID10438,lateral supine position,,
RID10439,lateral decubitus position,,
RID10440,oblique position,,
RID10441,left anterior oblique position,,
RID10442,left posterior oblique position,,
RID10443,right anterior oblique position,,
RID10444,right posterior oblique position,,
RID10445,deviation position,,
RID10446,radial deviation position,,
RID10447,ulnar deviation position,,
RID10448,bending position,,
RID10449,lordotic position,,
RID10450,neutral position,,
RID10451,open mouth position,,
RID10452,sitting position,,
RID10453,standing position,,
RID10455,upright position,,
RID10457,shoulder extension,,
RID10459,ventral position,,
RID10460,held position,,
RID10461,patient orientation,,
RID10462,head first orientation,,
RID10463,feet first orientation,,
RID10464,patient maneuver,,
RID10465,augmentation maneuver,,
RID10466,compression of tissue,,
RID10467,exhalation maneuver,,
RID10468,inspiration maneuver,,
RID10469,temporal tap,,
RID10470,Valsalva maneuver,,
RID10471,straining maneuver,,
RID10472,musculoskeletal stress maneuver,,
RID10473,Mueller maneuver,,
RID10475,stress maneuver,,
RID10476,physiological stress,,
RID10477,exercise stress maneuver,,
RID10478,treadmill exercise,,
RID10479,Naughton protocol exercise,,
RID10480,Bruce protocol exercise,,
RID10481,modified Bruce protocol exercise,,
RID10482,bicycle exercise,,
RID10484,leg pedaling exercise,,
RID10485,arm pedaling exercise,,
RID10486,cardiac pacing stress,,
RID10487,cold pressor stress,,
RID10488,hand exercises,,
RID10489,pharmacologic stress,,
RID10490,adenosine stress,,
RID10491,dipyridamole stress,,
RID10492,dobutamine stress,,
RID10493,mental stress,,
RID10494,breathing maneuver,,
RID10495,no breathhold instruction,,
RID10496,continuous breathing maneuver,,
RID10497,deep breaths,,
RID10498,shallow breaths,,
RID10499,breathing suspension,,
RID10500,inspiratory breathhold instruction,,
RID10501,expiratory breathhold instruction,,
RID10502,active expiration,,
RID10503,end expiration,,
RID10504,breast maneuver,,
RID10505,rolled lateral,,
RID10506,rolled medial,,
RID10507,rolled inferior,,
RID10508,rolled superior,,
RID10509,implant displaced,,
RID10510,radiography procedure attribute,,
RID10511,radiographic projection,,
RID10512,AP axial oblique projection,,
RID10513,AP axial projection,,
RID10514,axial projection,,
RID10515,axiolateral projection,,
RID10516,craniocaudal exaggerated laterally projection,,
RID10517,craniocaudal exaggerated medially projection,,
RID10518,caudocranial projection,,
RID10519,craniocaudal projection,,
RID10521,frontal projection,,
RID10522,inferosuperior axial projection,,
RID10523,lateral projection,,
RID10524,lateromedial projection,,
RID10525,lateromedial oblique projection,,
RID10526,mediolateral projection,,
RID10527,mediolateral oblique projection,,
RID10528,oblique projection,,
RID10529,PA axial oblique projection,,
RID10530,PA axial projection,,
RID10531,panoramic projection,,
RID10532,superoinferior axial projection,,
RID10533,superolateral to inferomedial oblique projection,,
RID10534,radiography grid,,
RID10535,focused grid,,
RID10536,parallel grid,,
RID10537,criss-cross grid,,
RID10538,moving grid,,
RID10539,fixed grid,,
RID10540,radiography filter,,
RID10541,compensation filter,,
RID10542,wedge filter,,
RID10543,beam-shaping filter,,
RID10544,radiation exposure measure,,
RID10545,entrance skin exposure,,
RID10547,entrance air KERMA,,
RID10549,dose area product,,
RID10551,KERMA area product,,
RID10553,radiation dose estimate,,
RID10554,entrance skin dose,,
RID10555,cross-sectional procedure attribute,,
RID10556,scanning direction,,
RID10557,cephalocaudad,,
RID10558,caudocephalad,,
RID10559,scan trigger method,,
RID10560,fixed delay scan,,
RID10562,automatic bolus tracking,,
RID10563,site of region of interest for measuring contrast enhancement,,
RID10564,monitoring delay,,
RID10565,interval for monitoring scans,,
RID10566,threshold enhancement for trigger,,
RID10567,upper limit trigger time,,
RID10568,test bolus technique,,
RID10581,CT procedure attribute,,
RID10582,CT exposure control method,,
RID10583,angular tube current modulation,,
RID10584,longitudinal tube current modulation,,
RID10586,angular longitudinal tube current modulation,,
RID10588,CT detector configuration,,
RID10589,multi-detector row configuration,,
RID10593,single-detector row configuration,,
RID10596,flat panel detector configuration,,
RID10597,CT detector,,
RID10598,Xenon ionization chamber,,
RID10599,solid-state crystal scintillation detector,,
RID10600,solid-state ceramic scintillation detector,,
RID10601,CT motion mode,,
RID10602,stationary,,
RID10603,rotating,,
RID10604,translation,,
RID10605,scanning electron beam,,
RID10606,CT scan mode,,
RID10607,CT projection radiograph,,
RID10613,helical scan mode,,
RID10615,axial scan mode,,
RID10618,dynamic CT attribute,,
RID10620,CT reconstruction method,,
RID10621,analytical reconstruction,,
RID10622,approximate reconstruction,,
RID10623,exact reconstruction,,
RID10624,iterative reconstruction,,
RID10625,CT reconstruction filter,,
RID10626,smooth kernel,,
RID10632,sharp kernel,,
RID10638,MR procedure attribute,,
RID10639,MR coil geometry,,
RID10640,birdcage coil,,
RID10641,solenoid coil,,
RID10642,planar surface coil,,
RID10644,chimney coil,,
RID10645,butterfly coil,,
RID10646,saddle coil,,
RID10647,single turn solenoid coil,,
RID10649,Helmholtz coil,,
RID10651,TEM coil,,
RID10652,Litz coil,,
RID10653,antenna coil,,
RID10654,MR coil transmission mode,,
RID10655,linear transmission mode,,
RID10656,circularly polarized transmission mode,,
RID10658,transmit array,,
RID10660,single-tuned transmission mode,,
RID10661,dual-tuned transmission mode,,
RID10663,MR coil detection mode,,
RID10664,linear detection mode,,
RID10665,circularly polarized detection mode,,
RID10667,receiver array,,
RID10670,single-tuned detection mode,,
RID10671,dual-tuned detection mode,,
RID10673,MR preparation or modification technique,,
RID10674,inversion recovery,,
RID10675,saturation recovery,,
RID10676,T2 prep,,
RID10678,T2 star prep,,
RID10680,spectral saturation,,
RID10685,fat saturation,,
RID10687,water saturation,,
RID10689,silicone saturation,,
RID10691,spectral inversion,,
RID10693,fat inversion,,
RID10695,water inversion,,
RID10697,silicone inversion,,
RID10699,magnetization transfer,,
RID10700,spatial saturation,,
RID10704,spin labeling,,
RID10705,driven equilibrium,,
RID10706,two-dimensional selective radiofrequency pulse,,
RID10708,non-spatially selective radiofrequency pulse,,
RID10712,spatial-spectral RF pulse,,
RID10715,tagging pulse,,
RID10716,motion-encoding gradient,,
RID10718,flow-sensitizing gradient,,
RID10719,velocity-encoding gradient,,
RID10720,bipolar gradient,,
RID10721,acceleration-encoding gradient,,
RID10722,diffusion weighting,,
RID10723,cyclic encoding gradient,,
RID10724,gradient moment nulling,,
RID10727,spin lock,,
